uniqueID,reject,Recruit_year,Cohort,Discipline,top100,PI,avg_pub,avg_FA_pub,avg_FA_top10pub,avg_LA_pub,avg_LA_top10pub,grant_nlg
1_1,0,2011,1,PHYSICS AND MATHEMATICS,1,0,4.6,0.8,0.8,0,0,90000
1_10,1,2011,1,PHYSICS AND MATHEMATICS,0,1,0.6,0.4,0,0.2,0.2,0
1_107,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,1,0,1,0.4,0.4,0,0,7.5
1_11,0,2011,1,PHYSICS AND MATHEMATICS,0,0,2,0.25,0,0,0,0
1_112,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,0,1,2.5,1.75,0.75,0.25,0,0
1_113,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,1,1,1.75,1.25,0,0.25,0,0
1_114,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,1,1,0,0,0,0,0,0
1_117,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,0,0,2,0.4,0.2,0.2,0.2,0
1_118,0,2011,1,LIFE SCIENCE,1,0,0.25,0.25,0.25,0,0,0
1_119,0,2011,1,LIFE SCIENCE,1,0,1.4,0.6,0.4,0,0,0
1_12,0,2011,1,PHYSICS AND MATHEMATICS,0,0,1.75,1,0.25,0.25,0,0
1_121,0,2011,1,LIFE SCIENCE,1,0,0.8,0.2,0.2,0,0,0
1_122,0,2011,1,LIFE SCIENCE,0,0,1.2,0.6,0.4,0,0,0
1_123,1,2011,1,LIFE SCIENCE,1,1,1,0,0,0.6,0,0
1_124,0,2011,1,LIFE SCIENCE,1,0,0.2,0.2,0.2,0,0,0
1_125,0,2011,1,LIFE SCIENCE,0,0,2,1.5,0.75,0,0,0
1_126,0,2011,1,LIFE SCIENCE,1,0,2.4,0.6,0.4,0,0,0
1_128,0,2011,1,LIFE SCIENCE,0,0,1.4,0.6,0.6,0,0,0
1_129,0,2011,1,LIFE SCIENCE,0,0,0.8,0.6,0.4,0,0,0
1_13,0,2011,1,PHYSICS AND MATHEMATICS,1,0,0,0,0,0,0,0
1_131,0,2011,1,LIFE SCIENCE,1,0,3.2,0.6,0.6,0,0,0
1_134,0,2011,1,LIFE SCIENCE,0,0,0.5,0.25,0.25,0,0,0
1_136,1,2011,1,LIFE SCIENCE,0,1,1,0.4,0.2,0,0,0
1_137,0,2011,1,LIFE SCIENCE,1,0,1,0.4,0.4,0,0,0
