,uniqueid,year,treat,returnyear,groupid,doctoral_graduation_year,post,treat_post,gender,cohort,discipline,bachelor_university,doctoral_university,region_bf_rcrt,doc_region,num_of_pub,q12_num,q1_num,top10_num,fa_pub,fa_q12pub,fa_q1pub,fa_top10pub,la_pub,la_q12pub,la_q1pub,la_top10pub,teamsize,teamsize_nlg,grant,grant_nlg,pi,alumni,recruit_institution,recruit_type,phd_overall_rank,phd_field_rank,bc_overall_rank,recruit_position,top10_productivity,year_index,counterfactual_num_of_pub,counterfactual_top10_num,counterfactual_fa_pub,counterfactual_fa_q1pub,counterfactual_la_pub,counterfactual_la_q1pub
0,0_1,2009,0,2011,1,2006,0,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,21,48,10.0,,,-2,,,,,,
1,0_1,2016,0,2011,1,2006,1,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,6.0,6,6,3.0,1.0,1,1.0,1,2.0,2,2.0,0,6,5,90051.57,227370.23,,0,,,21,48,10.0,,,5,,,,,,
2,0_1,2011,0,2011,1,2006,0,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,3.0,3,2,1.0,1.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,21,48,10.0,,,0,,,,,,
3,0_1,2019,0,2011,1,2006,1,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,8.0,7,7,3.0,1.0,1,1.0,0,1.0,1,1.0,1,5,1,294019.84,66649.602,,0,,,21,48,10.0,,,8,,,,,,
4,0_1,2007,0,2011,1,2006,0,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,1.0,0,0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,21,48,10.0,,,-4,,,,,,
5,0_1,2008,0,2011,1,2006,0,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,21,48,10.0,,,-3,,,,,,
6,0_1,2015,0,2011,1,2006,1,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,4.0,4,3,2.0,0.0,0,0.0,0,1.0,1,1.0,1,3,6,70267.336,90051.57,,0,,,21,48,10.0,,,4,,,,,,
7,0_1,2018,0,2011,1,2006,1,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,4.0,2,2,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0,5,227370.23,86433.844,,0,,,21,48,10.0,,,7,,,,,,
8,0_1,2017,0,2011,1,2006,1,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,7.0,7,5,3.0,3.0,3,2.0,2,1.0,1,1.0,0,5,0,90051.57,294019.84,,0,,,21,48,10.0,,,6,,,,,,
9,0_1,2012,0,2011,1,2006,0,0,Female,1,PHYSICS AND MATHEMATICS,Fudan University,Columbia University,,USA,4.0,4,3,2.0,1.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,21,48,10.0,,,1,,,,,,
